EP2 - Ciclistas!

Ranking - Rodada 1:
  13o - 0016 
  14o - 0004 
  15o - 0082 
  16o - 0076 
  17o - 0075 
  18o - 0059 
  19o - 0065 
  20o - 0054 
  21o - 0046 
  22o - 0047 
  23o - 0023 
  24o - 0078 
  25o - 0079 
  26o - 0029 
  27o - 0064 
  28o - 0061 
  29o - 0085 
  30o - 0052 
  31o - 0086 
  32o - 0051 
  33o - 0083 
  34o - 0037 
  35o - 0019 
  36o - 0096 
  37o - 0044 
  38o - 0017 
  39o - 0006 
  40o - 0090 
  41o - 0002 
  42o - 0032 
  43o - 0035 
  44o - 0080 
  45o - 0057 
  46o - 0070 
  47o - 0066 
  48o - 0038 
  49o - 0050 
  50o - 0025 
  51o - 0041 
  52o - 0042 
  53o - 0063 
  54o - 0008 
  55o - 0073 
  56o - 0074 
  57o - 0020 
  58o - 0068 
  59o - 0092 
  60o - 0055 
  61o - 0071 
  62o - 0088 
  63o - 0089 
  64o - 0003 
  65o - 0000 
  66o - 0001 
  67o - 0084 
  68o - 0034 
  69o - 0031 
  70o - 0026 
  71o - 0072 
  72o - 0033 
  73o - 0010 
  74o - 0062 
  75o - 0014 
  76o - 0099 
  77o - 0097 
  78o - 0018 
  79o - 0093 
  80o - 0098 
  81o - 0048 
  82o - 0058 
  83o - 0081 
  84o - 0091 


Ranking - Rodada 13:
   1o - 0043 
   2o - 0040 
   3o - 0053 
   4o - 0039 
   5o - 0028 
   6o - 0067 
   7o - 0077 
   8o - 0094 
   9o - 0095 
  10o - 0016 
  11o - 0011 
  12o - 0076 
  13o - 0075 
  14o - 0059 
  15o - 0065 
  16o - 0054 
  17o - 0023 
  18o - 0078 
  19o - 0064 
  20o - 0085 
  21o - 0036 
  22o - 0037 
  23o - 0052 
  24o - 0083 
  25o - 0056 
  26o - 0051 
  27o - 0019 
  28o - 0096 
  29o - 0004 
  30o - 0017 
  31o - 0006 
  32o - 0090 
  33o - 0082 
  34o - 0032 
  35o - 0057 
  36o - 0070 
  37o - 0066 
  38o - 0038 
  39o - 0046 
  40o - 0047 
  41o - 0050 
  42o - 0041 
  43o - 0042 
  44o - 0063 
  45o - 0079 
  46o - 0029 
  47o - 0073 
  48o - 0074 
  49o - 0061 
  50o - 0020 
  51o - 0086 
  52o - 0092 
  53o - 0068 
  54o - 0044 
  55o - 0055 
  56o - 0088 
  57o - 0089 
  58o - 0003 
  59o - 0000 
  60o - 0002 
  61o - 0001 
  62o - 0031 
  63o - 0080 
  64o - 0035 
  65o - 0025 
  66o - 0026 
  67o - 0033 
  68o - 0010 
  69o - 0008 
  70o - 0014 
  71o - 0099 
  72o - 0071 
  73o - 0093 
  74o - 0018 
  75o - 0098 
  76o - 0084 
  77o - 0034 
  78o - 0072 
  79o - 0062 
  80o - 0058 
  81o - 0097 
  82o - 0048 
  83o - 0081 

LISTA DELETADA 2

Ranking - Rodada 14:
   1o - 0040 
   2o - 0053 
   3o - 0039 
   4o - 0028 
   5o - 0094 
   6o - 0016 
   7o - 0011 
   8o - 0076 
   9o - 0075 
  10o - 0054 
  11o - 0043 
  12o - 0023 
  13o - 0078 
  14o - 0067 
  15o - 0077 
  16o - 0056 
  17o - 0083 
  18o - 0095 
  19o - 0004 
  20o - 0017 
  21o - 0090 
  22o - 0059 
  23o - 0065 
  24o - 0046 
  25o - 0038 
  26o - 0047 
  27o - 0041 
  28o - 0042 
  29o - 0063 
  30o - 0079 
  31o - 0029 
  32o - 0064 
  33o - 0074 
  34o - 0061 
  35o - 0085 
  36o - 0036 
  37o - 0052 
  38o - 0086 
  39o - 0037 
  40o - 0019 
  41o - 0092 
  42o - 0051 
  43o - 0096 
  44o - 0044 
  45o - 0068 
  46o - 0055 
  47o - 0088 
  48o - 0089 
  49o - 0006 
  50o - 0003 
  51o - 0001 
  52o - 0032 
  53o - 0082 
  54o - 0031 
  55o - 0080 
  56o - 0035 
  57o - 0057 
  58o - 0066 
  59o - 0070 
  60o - 0025 
  61o - 0050 
  62o - 0026 
  63o - 0033 
  64o - 0010 
  65o - 0008 
  66o - 0073 
  67o - 0020 
  68o - 0014 
  69o - 0093 
  70o - 0098 
  71o - 0000 
